itemId,orderId,itemName
4001,14001,LMD
4006,14006,Purchase Certificate
2001,22001,Drill Battle Record
2002,22002,Frontline Battle Record
2003,22003,Tactical Battle Record
2004,22004,Strategic Battle Record
3301,23301,Skill Summary - 1
3302,23302,Skill Summary - 2
3303,23303,Skill Summary - 3
mod_unlock_token,25011,Module Data Block
mod_update_token_1,25012,Data Supplement Stick
mod_update_token_2,25013,Data Supplement Instrument
30011,30011,Orirock
30012,30012,Orirock Cube
30013,30013,Orirock Cluster
30014,30014,Orirock Concentration
30021,30021,Sugar Substitute
30022,30022,Sugar
30023,30023,Sugar Pack
30024,30024,Sugar Lump
30031,30031,Ester
30032,30032,Polyester
30033,30033,Polyester Pack
30034,30034,Polyester Lump
30041,30041,Oriron Shard
30042,30042,Oriron
30043,30043,Oriron Cluster
30044,30044,Oriron Block
30051,30051,Diketon
30052,30052,Polyketon
30053,30053,Aketon
30054,30054,Keton Colloid
30061,30061,Damaged Device
30062,30062,Device
30063,30063,Integrated Device
30064,30064,Optimized Device
30073,30073,Loxic Kohl
30074,30074,White Horse Kohl
30083,30083,Manganese Ore
30084,30084,Manganese Trihydrate
30093,30093,Grindstone
30094,30094,Grindstone Pentahydrate
30103,30103,RMA70-12
30104,30104,RMA70-24
30115,30115,Polymerization Preparation
30125,30125,Bipolar Nanoflake
30135,30135,D32 Steel
30145,30145,Crystalline Electronic Unit
30155,30155,Nucleic Crystal Sinter
31013,31013,Coagulating Gel
31014,31014,Polymerized Gel
31023,31023,Incandescent Alloy
31024,31024,Incandescent Alloy Block
31033,31033,Crystalline Component
31034,31034,Crystalline Circuit
31043,31043,Semi-Synthetic Solvent
31044,31044,Refined Solvent
31053,31053,Compound Cutting Fluid
31054,31054,Cutting Fluid Solution
31063,31063,Transmuted Salt
31064,31064,Transmuted Salt Agglomerate
32001,32001,Chip Catalyst
3211,32110,Vanguard Chip
3212,32120,Vanguard Chip Pack
3213,32130,Vanguard Dualchip
3221,32210,Guard Chip
3222,32220,Guard Chip Pack
3223,32230,Guard Dualchip
3231,32310,Defender Chip
3232,32320,Defender Chip Pack
3233,32330,Defender Dualchip
3241,32410,Sniper Chip
3242,32420,Sniper Chip Pack
3243,32430,Sniper Dualchip
3251,32510,Caster Chip
3252,32520,Caster Chip Pack
3253,32530,Caster Dualchip
3261,32610,Medic Chip
3262,32620,Medic Chip Pack
3263,32630,Medic Dualchip
3271,32710,Supporter Chip
3272,32720,Supporter Chip Pack
3273,32730,Supporter Dualchip
3281,32810,Specialist Chip
3282,32820,Specialist Chip Pack
3283,32830,Specialist Dualchip